Codigo,Producto,Cod Barra,Rubro,Sub Rubro,Proveedor,Marca,Moneda,Costo,Porc. Utilidad
294001360,MEDIA ONE FEET BEBE ART 100E T0-00-1 MEDIA CAÑA,907291,LENCERIA,MEDIAS,,ONE FEET,PESOS,613.00,"60,00"
294001361,MEDIA ONE FEET HOMBRE ART 800L MEDIA CAÑA,907292,LENCERIA,MEDIAS,,ONE FEET,PESOS,"1,360.00","60,00"
294001362,MEDIA ONE FEET HOMBRE ART 800R MEDIA CAÑA,907293,LENCERIA,MEDIAS,,ONE FEET,PESOS,"1,360.00","60,00"
294001363,MEDIA ONE FEET HOMBRE ART 902L MICROMEDIA INVISIBLE,907294,LENCERIA,MEDIAS,,ONE FEET,PESOS,"1,190.00","60,00"
294001364,MEDIA ONE FEET JUVENIL ART 300E T5 MEDIA CAÑA,907295,LENCERIA,MEDIAS,,ONE FEET,PESOS,790.00,"60,00"
294001365,MEDIA ONE FEET JUVENIL ART 301E T4,907296,LENCERIA,MEDIAS,,ONE FEET,PESOS,790.00,"60,00"
294001366,MEDIA ONE FEET JUVENIL ART 301E T5,907297,LENCERIA,MEDIAS,,ONE FEET,PESOS,790.00,"60,00"
294001367,MEDIA ONE FEET MUJER ART 1410BGN SOQUETE DEPORTIVO,907298,LENCERIA,MEDIAS,,ONE FEET,PESOS,850.00,"60,00"
294001368,MEDIA ONE FEET MUJER ART ART400R MEDIA CAÑA,907299,LENCERIA,MEDIAS,,ONE FEET,PESOS,850.00,"60,00"
294001369,MEDIA ONE FEET MUJER ART ART500D SOQUETE DEPORTIVO,907300,LENCERIA,MEDIAS,,ONE FEET,PESOS,"1,018.00","60,00"
294001370,MEDIA ONE FEET MUJER ART ART500DT SOQUETE MAXI DEPORTIVO,907301,LENCERIA,MEDIAS,,ONE FEET,PESOS,"1,018.00","60,00"
294001371,MEDIA ONE FEET MUJER ART ART500E SOQUETE DEPORTIVO,907302,LENCERIA,MEDIAS,,ONE FEET,PESOS,"1,018.00","60,00"
294001372,MEDIA ONE FEET MUJER ART ART500IC SOQUETE INVISIBLE,907303,LENCERIA,MEDIAS,,ONE FEET,PESOS,"1,018.00","60,00"
294001373,MEDIA ONE FEET MUJER ART ART500LNB SOQUETE LISO,907304,LENCERIA,MEDIAS,,ONE FEET,PESOS,"1,018.00","60,00"
294001374,MEDIA ONE FEET MUJER ART ART500R SOQUETE RAYADO,907305,LENCERIA,MEDIAS,,ONE FEET,PESOS,"1,018.00","60,00"
294001375,MEDIA ONE FEET MUJER ART ART602L MICROMEDIA INVISIBLE,907306,LENCERIA,MEDIAS,,ONE FEET,PESOS,"1,147.00","60,00"
294001376,MEDIA ONE FEET NIÑO ART 200E T1 MEDIA CAÑA,907307,LENCERIA,MEDIAS,,ONE FEET,PESOS,"1,100.00","60,00"
294001377,MEDIA ONE FEET NIÑO ART 200E T2 MEDIA CAÑA,907308,LENCERIA,MEDIAS,,ONE FEET,PESOS,"1,600.00","60,00"
294001378,MEDIA ONE FEET NIÑO ART 200E T3 MEDIA CAÑA,907309,LENCERIA,MEDIAS,,ONE FEET,PESOS,"1,750.00","60,00"
294001379,MEDIA ONE FEET NIÑO ART 200E T4 MEDIA CAÑA,907310,LENCERIA,MEDIAS,,ONE FEET,PESOS,"1,850.00","60,00"
MER215555,MEDIA PERLA NEGRA 250 GRAMOS,909341,LENCERIA,MEDIA,,PERLA,PESOS,"14,960.00","60,00"
MER2555898887,MEDIA PERLA X 10 CM DE ANCHO X METRO,909344,LENCERIA,MEDIA,,PERLA,PESOS,"5,170.00","60,00"
294001380,MEDIA SOQUETE CON ANTIDESLIZANTE COCOT ART 3154,907311,LENCERIA,MEDIAS,,COCOT,PESOS,915.90,"60,00"
65531,MEDIA TERMICA DOLEMISO XDW-65531 X2 PARES,909668,LENCERIA,MEDIA,ECLIPSE,DOLEMISO,PESOS,"1,880.00","60,00"
190500001603,MEDIA TUBO DEPORTIVA DAVOR ART. 1703,902253,LENCERIA,MEDIA,,DAVOR,PESOS,850.00,"120,00"
ME9788,MEDIAS DUFOUR HOMBRE ART. 2504,909297,LENCERIA,MEDIAS,,DUFOUR,PESOS,496.80,"60,00"
121465541,MEDIA COLEGIAL OXFORD T2 AL T5,900443,LENCERIA,MEDIAS,,OXFORD,PESOS,"2,090.00","60,00"
294001391,MEDIAS NI-BEL ART 105 SOQUETE MULTIFILAMENTO,907323,LENCERIA,MEDIAS,,NI-BEL,PESOS,320.56,"60,00"
294001392,MEDIAS NI-BEL ART 131 LYCRA SIN PUNTERA,907324,LENCERIA,MEDIAS,,NI-BEL,PESOS,568.02,"60,00"
294001393,MEDIAS NI-BEL ART 196 SOQUETE RED C/PLANTILLA,907325,LENCERIA,MEDIAS,,NI-BEL,PESOS,798.60,"60,00"
294001394,MEDIAS NI-BEL ART 280 BUCANERA LYCRA,907326,LENCERIA,MEDIAS,,NI-BEL,PESOS,"1,240.84","60,00"
294001395,MEDIAS NI-BEL ART 286 BUCANERA,907327,LENCERIA,MEDIAS,,NI-BEL,PESOS,"1,272.88","60,00"
294001396,MEDIAS NI-BEL ART 287 BUCANERAS RED CON LIGA SILICONA,907328,LENCERIA,MEDIAS,,NI-BEL,PESOS,"1,593.45","60,00"
294001397,MEDIAS NI-BEL ART 710 CON PUNTILLA,907329,LENCERIA,MEDIAS,,NI-BEL,PESOS,714.24,"60,00"
ME2212,MEDIAS OXFORD ART 80000 CASHMILON - 80001 - 80002,909181,LENCERIA,MEDIAS,,OXFORD,PESOS,"2,330.00","60,00"
63464534,MEDIAS OXFORD HOMBRE ART 151 160 161,907830,LENCERIA,MEDIAS,,OXFORD,PESOS,"1,600.00","60,00"
1231545123,MEDIAS SAXOTEX HOMBRE ART 14250 / 14251 / 14260 / 14261,900448,LENCERIA,MEDIAS,,SAXOTEX,PESOS,340.00,"60,00"
MEMW1102,MEDIAS TERMICAAS CON CORDERITO MW-110-2,909330,LENCERIA,MEDIA,,MW,PESOS,"2,400.00","60,00"
MEMW983,MEDIAS TERMICAS CON CORDERITO BEBE MW-98-3,909331,LENCERIA,MEDIAS,,MW,PESOS,"1,800.00","60,00"
ACC7890002,PEZONERA CONEJO SILICONA SR-679,908089,LENCERIA,PEZONERA,,,PESOS,"2,490.00","60,00"
45412,PEZONERA PAPEL C/SILICONA REDONDA LE BEAUTY SL678,907779,LENCERIA,PEZONERA,,LE BEAUTY,PESOS,"1,480.00","60,00"
435436424,PEZONERAS AUTOADHESIVA PAPEL TELA X 5 PARES,907773,LENCERIA,PEZONERA,,,PESOS,"1,700.00","60,00"
294001468,PEZONERAS DE SILICONA 2404 X PAR,907400,LENCERIA,PEZONERA,,,PESOS,"1,390.00","60,00"
294001469,PEZONERAS DESCARTABLES X 2 PARES,907401,LENCERIA,PEZONERA,,,PESOS,285.55,"60,00"
435436423,PEZONERAS DESCARTABLES X5 PARES,907772,LENCERIA,PEZONERA,,,PESOS,"1,322.50","60,00"
MER12544487,SLIP BRADBURY 305 T5-6,909335,LENCERIA,SLIP,,BRADBURY,PESOS,"3,100.00","60,00"
MER215488877,SLIP BRADBURY 305 T7-8,909340,LENCERIA,SLIP,,BRADBURY,PESOS,"3,160.00","60,00"
294001662,SLIP BRADBURY CON ELASTICO,907598,LENCERIA,LENCERIA,,BRADBURY,PESOS,"1,444.17","60,00"
294001663,SLIP BRADBURY RAYADO 305 T2-3-4,907599,LENCERIA,LENCERIA,,BRADBURY,PESOS,"2,860.00","60,00"
294001664,SLIP LISO HOMBRE T2/3/4,907600,LENCERIA,SLIP,,,PESOS,"1,089.08","60,00"
294001665,SLIP LISO HOMBRE T5,907601,LENCERIA,SLIP,,,PESOS,"1,165.85","60,00"
294001666,SLIP LISO HOMBRE T6,907602,LENCERIA,SLIP,,,PESOS,"1,230.12","60,00"
294001667,SLIP LISO HOMBRE T7,907603,LENCERIA,SLIP,,,PESOS,"1,369.38","60,00"
294001668,SLIP LISO HOMBRE T8,907604,LENCERIA,SLIP,,,PESOS,"1,531.85","60,00"
294001669,SLIP RAYADO HOMBRE T2/3,907605,LENCERIA,SLIP,,,PESOS,"1,206.91","60,00"
294001670,SLIP RAYADO HOMBRE T4,907606,LENCERIA,SLIP,,,PESOS,"1,206.91","60,00"
294001671,SLIP RAYADO HOMBRE T5,907607,LENCERIA,SLIP,,,PESOS,"1,289.04","60,00"
294001672,SLIP RAYADO HOMBRE T6,907608,LENCERIA,SLIP,,,PESOS,"1,349.74","60,00"
294001706,TAZAS AUTOADHESIVAS DE SILICONA BRA,907643,LENCERIA,TAZAS,,,PESOS,"4,100.00","60,00"
294001707,TAZAS AUTOADHESIVAS DESCARTABLES X2,907644,LENCERIA,TAZAS,,,PESOS,"1,067.80","60,00"
ME3394440,VEDETINA COLA LESS SEGUNDA PIEL VICBLACK / LINDA LUNA / COCOT 6194 X UNIDAD,909206,LENCERIA,COLALESS,,VICLLACK,PESOS,"1,437.50","60,00"
ME56858,ZOQUETE ANTARTIDA HOMBRE 7036,909266,LENCERIA,ZOQUETE,,ANTARTIDA,PESOS,"2,024.00","60,00"
LEN1012,CAMISETA TERMICA DE NIÑO,908910,LENCERIA,CAMISETA,ECLIPSE,,PESOS,"4,500.00","120,00"
ME987654136,ZOQUETE BOYITA ART 800,909312,LENCERIA,ZOQUETE,,BOYITA,PESOS,152.99,"120,00"
ME987654139,ZOQUETE BOYITA ART 811 DAMA,909315,LENCERIA,ZOQUETE,,BOYITA,PESOS,201.29,"120,00"
ME987654140,ZOQUETE BOYITA ART 820 DEPORTIVO HOMBRE,909316,LENCERIA,ZOQUETE,,BOYITA,PESOS,193.24,"120,00"
ME987654143,ZOQUETE BOYITA ART 860 DAMA LARGA,909319,LENCERIA,ZOQUETE,,BOYITA,PESOS,201.29,"120,00"
ME987654137,ZOQUETE BOYITA ART 808 DAMA T4/5,909313,LENCERIA,ZOQUETE,,BOYITA,PESOS,152.99,"120,00"
ME987654138,ZOQUETE BOYITA ART 810 DAMA T4,909314,LENCERIA,ZOQUETE,,BOYITA,PESOS,177.10,"120,00"
ME987654141,ZOQUETE BOYITA ART 822 DEPORTIVO HOMBRE LARGA,909317,LENCERIA,ZOQUETE,,BOYITA,PESOS,201.29,"120,00"
ME987654142,ZOQUETE BOYITA ART 850 DAMA,909318,LENCERIA,ZOQUETE,,BOYITA,PESOS,152.99,"120,00"
ME987654123,MEDIA BOYITA ART 100 PUNO VOLCADO T 000/00/0,909299,LENCERIA,MEDIA,,BOYITA,PESOS,531.30,"120,00"
ME987654124,MEDIA BOYITA ART 100 PUÑO VOLCADO T 1/2,909300,LENCERIA,MEDIA,,BOYITA,PESOS,607.20,"120,00"
ME987654125,MEDIA BOYITA ART 100 PUÑO VOLCADO T 3/4,909301,LENCERIA,MEDIA,,BOYITA,PESOS,678.04,"120,00"
ME987654126,MEDIA BOYITA ART 100 PUÑO VOLCADO T5,909302,LENCERIA,MEDIA,,BOYITA,PESOS,784.30,"120,00"
ME987654127,MEDIA BOYITA ART 105 FANTASIA T 000/00/0,909303,LENCERIA,MEDIA,,BOYITA,PESOS,152.99,"120,00"
ME678,MEDIA ANTARTIDA ART 7159 / 7160,909281,LENCERIA,MEDIAS,,ANTARTIDA,PESOS,"4,114.00","120,00"
ME679,MEDIA FLOYD ART 60 T.3 ZOQUETE LISO NIÑO,,,,,,PESOS,"7,770.00","60,00"
ME700,MEDIA FLOYD ART 60 T.2 ZOQUETE LISO NIÑO,,,,,,PESOS,"6,875.00","60,00"
ME701,MEDIAS ABEJA,,,,,,PESOS,"3,457.00",80
ME702,POLLERA TUL NEGRO 30CM,,,,,,PESOS,"2,722.00",80
ME703,ALA MARIPOSA NEGRA,,,,,,PESOS,"2,717.29",80
ME704,MEDIA FLOYD ART 60 T.2 ZOQUETE LISO NIÑO,,,,,,PESOS,"1,145.83","60,00"
23,MEDIA CAÑA ALGODON PATIN LOVE,,,,,,PESOS,"3,758.00","60,00"
24,ZOQUETE ALGODON PATIN LOVE,,,,,,PESOS,"3,136.00","60,00"
26,MEDIA COMPRESION AJUSTE DIFERENCIADO,,,,,,PESOS,"5,077.00","60,00"
117,PANTY PATIN ESTRIBO CON STRASS MILAN,,,,,,PESOS,"9,199.00","60,00"
119,PANTY PATIN CON CUBREBOTAS CON STRASS BEIRUT,,,,,,PESOS,"7,533.00","60,00"
120,PANTY PATIN CON CUBREBOTAS CON STRASS PRAGA,,,,,,PESOS,"7,533.00","60,00"
ME705,MEDIAS DE VESTIR ALGODON LISO DURANIL,,,,,,PESOS,"4,000.00","60,00"
ME706,ZOQUETE LISO ESCOLAR DURANIL,,,,,,PESOS,"3,500.00","60,00"
ME707,MEDIA COLEGIAL SAYER T2 A T5,,,,,,PESOS,"3,875.00","60,00"
