Codigo,Producto,Cod Barra,Rubro,Sub Rubro,Proveedor,Marca,Moneda,Costo,Porc. Utilidad
306821,BILLETERA TRENDY DOBLE CIERRE 18637B,4790030186374,ACCESORIOS,BILLETERAS,,TRENDY,PESOS,"7,100.00","120,00"
ACC6741387,BILLETERA TRENDY NEGRO VERDE FUCCIA KAKI LILA 18350 / 18341 / 18344 / 18362,908072,ACCESORIOS,BILLETERAS,,,PESOS,"4,200.00","120,00"
ACC6741391,BILLETERA UNICROSS EN CAJA,908076,ACCESORIOS,BILLETERAS,,,PESOS,"7,600.00","120,00"
ACC10LUYWZ,BILLETERA ZAPHIR BC0027Z,907991,ACCESORIOS,BILLETERAS,,ZAPHIR,PESOS,"9,300.00","120,00"
ACC215488877,BILLETERA ZAPHIR BG0079Z BG0075Z,908021,ACCESORIOS,BILLETERA,,,PESOS,"7,300.00","120,00"
ACC2569888858,BLOCK MAGICO KUROMI 1151-10,908028,ACCESORIOS,BLOCK,,,PESOS,"1,500.00","120,00"
RE1021776,BOLSO CARTERON LAS OREIRO 21776,909481,ACCESORIOS,CARTERA,,,PESOS,"12,900.00","120,00"
MC420,BOLSO MATERO MARCELINO,909125,ACCESORIOS,BOLSO MATERO,,,PESOS,"13,500.00","120,00"
ACC15164,BOLSO TRENDY 15164,908004,ACCESORIOS,BOLSO,,,PESOS,"5,850.00","120,00"
113622,BOTELLA TERMICA 500ML BIGSTAR BSP-500-MS,7890155380047,ACCESORIOS,BOTELLA TERMICA,,,PESOS,"10,560.00","120,00"
BA16841900,BOTELLA TERMICA 500ML SPORTS BOTTLE SB-0500,7892024905002,ACCESORIOS,BOTELLA TERMICA,,,PESOS,"10,560.00","120,00"
REG4541,BOTELLA TERMICA 750ML BIGSTAR BSP-8023-RS,909587,ACCESORIOS,BOTELLA TERMICA,,,PESOS,"11,960.00","120,00"
ACC874,BOTINERO ECONOMICO,908103,ACCESORIOS,BOTINERO,,,PESOS,"2,500.00","120,00"
ACC1365,BRILLO LABIAL COLOR LIP GLOSS MISS BETTY FAB412,900412,ACCESORIOS,GLOSS,,MISS BETTY,PESOS,"1,200.00","120,00"
6971968513151,BRILLO LABIAL LIP GLOSS MAGIC COLOR TEI8171,6971968513151,ACCESORIOS,GLOSS,,MAGIC COLOR,PESOS,"1,500.00","120,00"
6975848512494,BRILLO LABIAL LIP GLOSS MISS BETTY L1249 MQ43,6975848512494,ACCESORIOS,GLOSS,,MISS BETTY,PESOS,"1,350.00","120,00"
6985948551620,BRILLO LABIAL LIP GLOSS MISS BETTY L5162 MQ43,6985948551620,ACCESORIOS,GLOSS,,MISS BETTY,PESOS,"1,350.00","120,00"
ACC545457,BRILLO LABIAL LIP GLOSS USHAS UC089A,6924372618141,ACCESORIOS,GLOSS,,USHAS,PESOS,"2,300.00","120,00"
BROCHE CABELLO,BROCHE CABELLO PELO GRANDE E-24,908192,ACCESORIOS,BROCHE PELO,,,PESOS,"1,150.00","120,00"
ACC360,BROCHE CAREY CHICO / S,908033,ACCESORIOS,BROCHE PELO,,CAREY,PESOS,"1,100.00","120,00"
ACC359,BROCHE CAREY EXTRA CHICO / XS,908032,ACCESORIOS,BROCHE PELO,,CAREY,PESOS,"1,000.00","120,00"
ACC363,BROCHE CAREY EXTRA GRANDE / XL,908036,ACCESORIOS,BROCHE PELO,,CAREY,PESOS,"2,000.00","120,00"
ACC362,BROCHE CAREY GRANDE / L,908035,ACCESORIOS,BROCHE PELO,,CAREY,PESOS,"1,500.00","120,00"
ACC361,BROCHE CAREY MEDIANO / M,908034,ACCESORIOS,BROCHE PELO,,CAREY,PESOS,"1,090.00","120,00"
ACC0026,BROCHE CON STRASS MARIPOSA - FLOR X PAR,907954,ACCESORIOS,BROCHE PELO,,,PESOS,300.00,"120,00"
ACC0035,BROCHE HEBILLA FRANCESA MOÑO,907963,ACCESORIOS,BROCHE PELO,,,PESOS,750.00,"120,00"
ACC0022,BROCHE IRROMPIBLE NEGRO PLASTICO FABIAN,907950,ACCESORIOS,BROCHE PELO,,,PESOS,580.00,"120,00"
ACC0040,BROCHE METAL CON PIEDRAS CHICO,907969,ACCESORIOS,BROCHE PELO,,,PESOS,250.00,"120,00"
ACC0042,BROCHE METAL CON PIEDRAS GRANDE,907971,ACCESORIOS,BROCHE PELO,,,PESOS,500.00,"120,00"
ACC0041,BROCHE METAL CON PIEDRAS MEDIANO,907970,ACCESORIOS,BROCHE PELO,,,PESOS,350.00,"120,00"
ACC0039,BROCHE METAL CON STRASS CHICO,907967,ACCESORIOS,BROCHE PELO,,,PESOS,400.00,"120,00"
ACC0037,BROCHE METAL CON STRASS GRANDE,907965,ACCESORIOS,BROCHE PELO,,,PESOS,880.00,"120,00"
ACC879,BROCHE PARA EL PELO PERSONAJES,908107,ACCESORIOS,ACCESORIOS PARA EL CABELLO,,,PESOS,850.00,"120,00"
ACC0024,BROCHE PESCADO PLASTICO,907952,ACCESORIOS,BROCHE PELO,,,PESOS,666.66,"120,00"
ACC0034,BROCHE PLASTICO CHICO (2 / 3 CM),907962,ACCESORIOS,BROCHE PELO,,,PESOS,250.00,"120,00"
ACC0033,BROCHE PLASTICO MEDIANO (4 / 5 CM),907961,ACCESORIOS,BROCHE PELO,,,PESOS,400.00,"120,00"
ACC0046,BROCHE TIC TAC CON PERLAS,907975,ACCESORIOS,BROCHE PELO,,,PESOS,400.00,"120,00"
ACC0031,BROCHES IRROMPIBLES CHICO,907959,ACCESORIOS,BROCHE PELO,,,PESOS,270.00,"120,00"
ACC0032,BROCHES IRROMPIBLES MINI X PAR,907960,ACCESORIOS,BROCHE PELO,,,PESOS,550.00,"120,00"
ME546857,BUFAMANTA ACRILICO 1.90 X 0.80 VS COLORES,909254,ACCESORIOS,INVIERNO,,,PESOS,"8,501.00","120,00"
ACCBUF,BUFANDA LISA 1.50 X 0.35,908115,ACCESORIOS,INVIERNO,,,PESOS,"3,000.00","120,00"
ME02555,BUFANDON 1.86 X 0.45,909126,ACCESORIOS,INVIERNO,,,PESOS,"5,900.00","120,00"
TEC596250,CABLE IBEK BOLSA 3.1 V8,909658,ACCESORIOS,CELULARES,,,PESOS,490.00,"120,00"
ACC8789,CARTERA CHICA MARCELINA,908106,ACCESORIOS,CARTERA,,,PESOS,"5,900.00","120,00"
ACC8792,CARTERA GRANDE MARCELINA,908108,ACCESORIOS,CARTERA,,,PESOS,"7,500.00","120,00"
524667,CEPILLO INFANTIL TRENDY 52986B 52981B,4790030529867,ACCESORIOS,ART. PARA EL PELO,,TRENDY,PESOS,"2,700.00","120,00"
ACC5447,CHALINA DEGRADE CON FLECOS SPIGA 2365,908057,ACCESORIOS,CHALINA,,,PESOS,"4,500.00","120,00"
ACC542,CHALINA ECONOMICA CHICA,908055,ACCESORIOS,CHALINA,,,PESOS,"2,000.00","120,00"
ACC564,CHALINA ECONOMICA GRANDE,908063,ACCESORIOS,CHALINA,,,PESOS,"2,400.00","120,00"
ACC6554,CHALINA ESTAMPADA 40118 - 72454 - 28058 - 72350 - 72420,908070,ACCESORIOS,CHALINA,,,PESOS,"4,500.00","120,00"
ACC74541,CHALINA ESTAMPADA PA-452,908084,ACCESORIOS,CHALINA,,,PESOS,"1,980.00","120,00"
ACC8272,CHALINA TRENDY 8272,908098,ACCESORIOS,CHALINA,,,PESOS,"2,900.00","120,00"
ACC3639,CHALINA TRENDY 8276 - 28064,908037,ACCESORIOS,CHALINA,,,PESOS,"3,900.00","120,00"
ACC454,CHALINA TRENDY 8317,908043,ACCESORIOS,CHALINA,,,PESOS,"1,600.00","120,00"
ME545,"CINTO ""BLACK"" LSYD 91977 / 91978",909247,ACCESORIOS,PIERCING,,,PESOS,"5,500.00","120,00"
294000007000,CINTO ELASTICO REGULABLE NIÑO,905880,ACCESORIOS,CINTO,,,PESOS,"2,530.00","120,00"
2133316525,CINTO MODAX 21333 (DOMI),905545,ACCESORIOS,CINTO,,,PESOS,"2,500.00","120,00"
525254,CINTO WPC NEGRO 52525 53463,907813,ACCESORIOS,CINTO,,WELLINGTON,PESOS,"4,900.00","120,00"
SC0062Z,CINTO ZAPHIR,909655,ACCESORIOS,CINTO,,,PESOS,"5,200.00","120,00"
ACC321467,COLITA PARA CABELLO PEQUEÑA X PAQUETE DE 6 / X6 / ITEM: DOC-024,908031,ACCESORIOS,ACCESORIO CABELLO,,,PESOS,250.00,"120,00"
