Codigo,Producto,Cod Barra,Rubro,Sub Rubro,Proveedor,Marca,Moneda,Costo,Porc. Utilidad,Bulto,Caja / Rollo,Unidad / metro / cajita,,
294000044,"AGUJA CROCHET MANGO SILICONA CBX Nº 5,5",905919,MERCERIA,AGUJA CROCHET,MILAN,,PESOS,"1,210.00","120,00",,,,,Único
294000045,AGUJA CROCHET MANGO SILICONA CBX Nº 6,905920,MERCERIA,AGUJA CROCHET,MILAN,,PESOS,"1,315.00","120,00",,,,,Único
294000046,AGUJA CROCHET MANGO SILICONA CBX Nº 7,905921,MERCERIA,AGUJA CROCHET,MILAN,,PESOS,"1,540.00","120,00",,,,,Único
294000047,AGUJA CROCHET MANGO SILICONA CBX SURTIDO X9,905922,MERCERIA,AGUJA CROCHET,MILAN,,PESOS,"8,810.00","120,00",,,,,Único
294000993,AGUJA CROCHET SILVER DORADA Nº 12,906919,MERCERIA,AGUJA CROCHET,MILAN,,PESOS,"1,090.00","120,00",,,,,Único
294000994,AGUJA CROCHET SILVER DORADA Nº 2 AL 5 X1,906920,MERCERIA,AGUJA CROCHET,MILAN,,PESOS,665.00,"120,00",,,,,Único
294000995,"AGUJA CROCHET SILVER DORADA Nº 5,5 AL 7 X1",906921,MERCERIA,AGUJA CROCHET,MILAN,,PESOS,740.00,"120,00",,,,,Único
294000996,AGUJA CROCHET SILVER DORADA Nº 8 AL N° 10,906922,MERCERIA,AGUJA CROCHET,MILAN,,PESOS,"1,010.00","120,00",,,,,Único
294000997,AGUJA CROCHET SILVER PLATA Nº00000 AL 14 X1,906923,MERCERIA,AGUJA CROCHET,MILAN,,PESOS,500.00,"120,00",,,,,Único
294000048,AGUJA CURVA CBX MED. X1,905923,MERCERIA,AGUJA CROCHET,MILAN,,PESOS,100.00,"120,00",,,,,Único
294000051,AGUJA DE CROCHET PLASTICA TOTORA SURT X5 LA00995,905926,MERCERIA,AGUJA CROCHET,MILAN,,PESOS,"1,325.00","120,00",,,,,Único
294000050,AGUJA DE CROCHET PLASTICA TOTORA X UNIDAD,905925,MERCERIA,AGUJA CROCHET,MILAN,,PESOS,300.00,"120,00",,,,,Único
294000049,AGUJA DE CROCHET PLASTICA TOTORA X6 LA98416,905924,MERCERIA,AGUJA CROCHET,MILAN,,PESOS,"1,650.00","120,00",,,,,Único
294000052,AGUJA DOBLE PUNTA Nº14 3/90 X 2 UNIDADES,905927,MERCERIA,AGUJAS,MILAN,,PESOS,"8,775.00","120,00",,,,,Único
2940000531,AGUJA FACIL ENHEBRADO (P/ CIEGO) CBX SOBRE X 10U,905929,MERCERIA,AGUJA A MANO,MILAN,CBX,PESOS,875.00,"120,00",,,,,Único
294000053,AGUJA FACIL ENHEBRADO CBX X1,905928,MERCERIA,AGUJAS,MILAN,,PESOS,100.00,"120,00",,,,,Único
294000055,AGUJA FIELTRO CBX PAQUETE X4 UNIDADES,905931,MERCERIA,AGUJA FIELTRO,MILAN,,PESOS,"1,425.00","120,00",,,,,Único
294000054,AGUJA FIELTRO CON MANGO ART. FN001,905930,MERCERIA,AGUJA FIELTRO,MILAN,,PESOS,"2,025.00","120,00",,,,,Único
294000056,AGUJA INDIO,905932,MERCERIA,AGUJAS,MILAN,,PESOS,880.00,"120,00",,,,,Único
294000057,AGUJA LANA CHENILLE CON PUNTA 14 AL 18 X1,905933,MERCERIA,AGUJA LANA,MILAN,,PESOS,70.00,"120,00",,,,,Único
294000058,AGUJA LANA CON PUNTA N°60 X1,905934,MERCERIA,AGUJA LANA,MILAN,,PESOS,130.00,"120,00",,,,,Único
294000059,AGUJA LANA PLASTICA X1,905935,MERCERIA,AGUJA LANA,MILAN,,PESOS,60.00,"120,00",,,,,Único
294000060,AGUJA LANA SIN PUNTA Nº55 X1,905936,MERCERIA,AGUJA LANA,MILAN,,PESOS,150.00,"120,00",,,,,Único
294000061,AGUJA LANA SIN PUNTA Nº70 X1,905937,MERCERIA,AGUJA LANA,MILAN,,PESOS,240.00,"120,00",,,,,Único
294000062,AGUJA LANA SURTIDA X6,905938,MERCERIA,AGUJA LANA,MILAN,,PESOS,900.00,"120,00",,,,,Único
294000063,AGUJA LANA TAMPESTRY 14 AL 18 X1,905939,MERCERIA,AGUJA LANA,MILAN,,PESOS,70.00,"120,00",,,,,Único
2940000641,AGUJA MAQ. DE ETIQUETAR FINA CY2002 X 1,905941,MERCERIA,AGUJA ETIQUETADORA,MILAN,TAGGING ,PESOS,890.00,"120,00",,,,,Único
294000064,AGUJA MAQ. DE ETIQUETAR FINA CY2002 X CAJA 5,905940,MERCERIA,AGUJA ETIQUETADORA,MILAN,TAGGING ,PESOS,"4,450.00","120,00",,,,,Único
