Cod Producto,Producto,Cod Barra,Rubro,Sub Rubro,Proveedor,Marca,Moneda,Costo,Porc. Utilidad,Fecha Ultima Modificacion
2504015,CARTON GRIS 1 MM (N° 25),905667,PAPELERA,CARTON,PAPELERA CUMBRE,,PESOS,710.00,60,04/11/2025
2504016,"CARTON GRIS 1,5MM (N° 16)",905668,PAPELERA,CARTON,PAPELERA CUMBRE,,PESOS,"1,294.00",60,04/11/2025
2504017,CARTON GRIS 2 MM (N° 12),905669,PAPELERA,CARTON,PAPELERA CUMBRE,,PESOS,"1,750.00",60,04/11/2025
2504018,"CARTON GRIS 2,5MM (N° 10)",905670,PAPELERA,CARTON,PAPELERA CUMBRE,,PESOS,"2,070.00",60,04/11/2025
2504019,CARTON GRIS 3 MM (N° 8),905671,PAPELERA,CARTON,PAPELERA CUMBRE,,PESOS,"2,590.00",60,04/11/2025
C124445,CARTULINA ENCAPADA 76X112 260GR (80P),908193,PAPELERA,CARTON,PAPELERA CUMBRE,,PESOS,560.00,60,04/11/2025
2504020,"FOX, OBRA ALCALINO 120 GRS 215 X 355 MM X 250 HJS (MP)",905672,PAPELERA,PAPEL OBRA,MULTIPAPEL,FOX,PESOS,"16,000.00",60,04/11/2025
2504021,"FOX, OBRA ALCALINO 120 GRS 220 X 340 MM 250 HJS (MP)",905673,PAPELERA,PAPEL OBRA,MULTIPAPEL,FOX,PESOS,"15,000.00",60,04/11/2025
2504022,"FOX, OBRA ALCALINO 120 GRS 30,5 X 45,7 MM 250 HJS (MP)",905674,PAPELERA,PAPEL OBRA,MULTIPAPEL,FOX,PESOS,"28,000.00",60,04/11/2025
25040231,"FOX, OBRA ALCALINO 120 GRS A4 X 250 HJS (MP)",905676,PAPELERA,PAPEL OBRA,MULTIPAPEL,FOX,PESOS,"14,000.00",60,04/11/2025
2504023,"FOX, OBRA ALCALINO 120 GRS A4 X HOJA (MP)",905675,PAPELERA,PAPEL OBRA,MULTIPAPEL,FOX,PESOS,75.00,60,04/11/2025
2504024,"FOX, OBRA ALCALINO 150 GRS 215 X 355 MM X 250 HJS (MP)",905677,PAPELERA,PAPEL OBRA,MULTIPAPEL,FOX,PESOS,"21,000.00",60,04/11/2025
2504025,"FOX, OBRA ALCALINO 150 GRS 220 X 340 MM 250 HJS (MP)",905678,PAPELERA,PAPEL OBRA,MULTIPAPEL,FOX,PESOS,"19,000.00",60,04/11/2025
2504026,"FOX, OBRA ALCALINO 150 GRS 30,5 X 45,7 MM 250 HJS (MP)",905679,PAPELERA,PAPEL OBRA,MULTIPAPEL,FOX,PESOS,"33,000.00",60,04/11/2025
25040271,"FOX, OBRA ALCALINO 150 GRS A4 X 250 HJS (MP)",905681,PAPELERA,PAPEL OBRA,MULTIPAPEL,FOX,PESOS,"16,200.00",60,04/11/2025
2504027,"FOX, OBRA ALCALINO 150 GRS A4 X HOJA (MP)",905680,PAPELERA,PAPEL OBRA,MULTIPAPEL,FOX,PESOS,90.00,60,04/11/2025
