Cod Producto,Producto,Cod Barra,Rubro,Sub Rubro,Proveedor,Marca,Moneda,Tiempo (min),Costo Mano Obra/min,Costo Insumos,Costo Internet,Costo Luz,Costo Equipo,Ganancia,Venta,Venta Final,,,,,,,,
17107,IMPRESION AUTOADHESIVO ILUSTRACION COUCHE A4 (COLOR) 🏳️‍🌈,909700,SERVICIOS,IMPRESION,,,PESOS,1,82.73,#REF!,3.740648379,25.99283458,275.00,1.6,#REF!,#REF!,,,,,,,,
17120,IMPRESION AUTOADHESIVO OBRA FOSCO A3 (B/N) 🏁,909713,SERVICIOS,IMPRESION,,,PESOS,1,82.73,#REF!,3.740648379,25.99283458,68.75,1.6,#REF!,800.00,,,,,,,,
17132,IMPRESION AUTOADHESIVO OBRA FOSCO A3 (COLOR) 🏳️‍🌈,909725,SERVICIOS,IMPRESION,,,PESOS,1,82.73,#REF!,3.740648379,25.99283458,275.00,1.6,#REF!,"1,500.00",,,,,,,,
17094,IMPRESION AUTOADHESIVO OBRA FOSCO A4 (B/N) 🏁,909687,SERVICIOS,IMPRESION,,,PESOS,1,82.73,#REF!,3.740648379,25.99283458,68.75,1.6,#REF!,600.00,,,,,,,,
17108,IMPRESION AUTOADHESIVO OBRA FOSCO A4 (COLOR) 🏳️‍🌈,909701,SERVICIOS,IMPRESION,,,PESOS,1,82.73,#REF!,3.740648379,25.99283458,275.00,1.6,#REF!,800.00,,,,,,,,
17113,IMPRESION EN HOJA DE COLOR A3 (B/N) 🏁,909706,SERVICIOS,IMPRESION,,,PESOS,1,82.73,,3.740648379,25.99283458,27.16,1.6,200.00,,,,,,,,,
17125,IMPRESION EN HOJA DE COLOR A3 (COLOR) 🏳️‍🌈,909718,SERVICIOS,IMPRESION,,,PESOS,1,82.73,,3.740648379,25.99283458,275.00,1.6,600.00,,,,,,,,,
17085,IMPRESION EN HOJA DE COLOR A4 (B/N) 🏁,909678,SERVICIOS,IMPRESION,,,PESOS,1,82.73,#REF!,3.740648379,25.99283458,27.16,1.6,#REF!,500.00,,,,,,,,
17099,IMPRESION EN HOJA DE COLOR A4 (COLOR) 🏳️‍🌈,909692,SERVICIOS,IMPRESION,,,PESOS,1,82.73,#REF!,3.740648379,25.99283458,275.00,1.6,#REF!,#REF!,,,,,,,,
17068,IMPRESION FOTOGRAFICA 130GR,900560,SERVICIOS,FOTOGRAFIA,,,PESOS,1,82.73,#REF!,3.740648379,25.99283458,275.00,1.6,#REF!,"1,300.00",,,,,,,,
17062,IMPRESION FOTOGRAFICA 160GR / 180GR,900554,SERVICIOS,FOTOGRAFIA,,,PESOS,1,82.73,#REF!,3.740648379,25.99283458,275.00,1.6,#REF!,"1,500.00",,,,,,,,
17069,IMPRESION FOTOGRAFICA AUTOADHESIVO,900561,SERVICIOS,FOTOGRAFIA,,,PESOS,1,82.73,#REF!,3.740648379,25.99283458,275.00,1.6,#REF!,"1,800.00",,,,,,,,
17117,IMPRESION ILUSTRACION 150GR A3 (B/N) 🏁,909710,SERVICIOS,IMPRESION,,,PESOS,1,82.73,#REF!,3.740648379,25.99283458,68.75,1.6,#REF!,700.00,,,,,,,,
17129,IMPRESION ILUSTRACION 150GR A3 (COLOR) 🏳️‍🌈,909722,SERVICIOS,IMPRESION,,,PESOS,1,82.73,#REF!,3.740648379,25.99283458,275.00,1.6,#REF!,"1,200.00",,,,,,,,
17090,IMPRESION ILUSTRACION 150GR A4 (B/N) 🏁,909683,SERVICIOS,IMPRESION,,,PESOS,1,82.73,#REF!,3.740648379,25.99283458,68.75,1.6,#REF!,600.00,,,,,,,,
17104,IMPRESION ILUSTRACION 150GR A4 (COLOR) 🏳️‍🌈,909697,SERVICIOS,IMPRESION,,,PESOS,1,82.73,#REF!,3.740648379,25.99283458,275.00,1.6,#REF!,800.00,,,,,,,,
17118,IMPRESION ILUSTRACION 200GR A3 (B/N) 🏁,909711,SERVICIOS,IMPRESION,,,PESOS,1,82.73,#REF!,3.740648379,25.99283458,68.75,1.6,#REF!,,,,,,,,,
17130,IMPRESION ILUSTRACION 200GR A3 (COLOR) 🏳️‍🌈,909723,SERVICIOS,IMPRESION,,,PESOS,1,82.73,#REF!,3.740648379,25.99283458,275.00,1.6,#REF!,,,,,,,,,
17092,IMPRESION ILUSTRACION 200GR A4 (B/N) 🏁,909685,SERVICIOS,IMPRESION,,,PESOS,1,82.73,#REF!,3.740648379,25.99283458,68.75,1.6,#REF!,600.00,,,,,,,,
17106,IMPRESION ILUSTRACION 200GR A4 (COLOR) 🏳️‍🌈,909699,SERVICIOS,IMPRESION,,,PESOS,1,82.73,#REF!,3.740648379,25.99283458,275,1.6,#REF!,800.00,,,,,,,,
17091,IMPRESION ILUSTRACION 250GR A4 (B/N) 🏁,909684,SERVICIOS,IMPRESION,,,PESOS,1,82.73,#REF!,3.740648379,25.99283458,68.75,1.6,#REF!,,,,,,,,,
17105,IMPRESION ILUSTRACION 250GR A4 (COLOR) 🏳️‍🌈,909698,SERVICIOS,IMPRESION,,,PESOS,1,82.73,#REF!,3.740648379,25.99283458,275,1.6,#REF!,,,,,,,,,
17121,IMPRESION KRAFT 120GR / 125GR A3 (B/N) 🏁,909714,SERVICIOS,IMPRESION,,,PESOS,1,82.73,#REF!,3.740648379,25.99283458,27.16,1.6,#REF!,700.00,,,,,,,,
17133,IMPRESION KRAFT 120GR / 125GR A3 (COLOR) 🏳️‍🌈,909726,SERVICIOS,IMPRESION,,,PESOS,1,82.73,#REF!,3.740648379,25.99283458,275.00,1.6,#REF!,"1,400.00",,,,,,,,
17095,IMPRESION KRAFT 120GR / 125GR A4 (B/N) 🏁,909688,SERVICIOS,IMPRESION,,,PESOS,1,82.73,#REF!,3.740648379,25.99283458,27.16,1.6,#REF!,500.00,,,,,,,,
17109,IMPRESION KRAFT 120GR / 125GR A4 (COLOR) 🏳️‍🌈,909702,SERVICIOS,IMPRESION,,,PESOS,1,82.73,#REF!,3.740648379,25.99283458,275.00,1.6,#REF!,700.00,,,,,,,,
17122,IMPRESION KRAFT 150GR A3 (B/N) 🏁,909715,SERVICIOS,IMPRESION,,,PESOS,1,82.73,#REF!,3.740648379,25.99283458,27.16,1.6,#REF!,700.00,,,,,,,,
17134,IMPRESION KRAFT 150GR A3 (COLOR) 🏳️‍🌈,909727,SERVICIOS,IMPRESION,,,PESOS,1,82.73,#REF!,3.740648379,25.99283458,275.00,1.6,#REF!,"1,400.00",,,,,,,,
17096,IMPRESION KRAFT 150GR A4 (B/N) 🏁,909689,SERVICIOS,IMPRESION,,,PESOS,1,82.73,#REF!,3.740648379,25.99283458,27.16,1.6,#REF!,500.00,,,,,,,,
17110,IMPRESION KRAFT 150GR A4 (COLOR) 🏳️‍🌈,909703,SERVICIOS,IMPRESION,,,PESOS,1,82.73,#REF!,3.740648379,25.99283458,275.00,1.6,#REF!,700.00,,,,,,,,
17123,IMPRESION KRAFT 200GR A3 (B/N) 🏁,909716,SERVICIOS,IMPRESION,,,PESOS,1,82.73,#REF!,3.740648379,25.99283458,27.16,1.6,#REF!,800.00,,,,,,,,
17135,IMPRESION KRAFT 200GR A3 (COLOR) 🏳️‍🌈,909728,SERVICIOS,IMPRESION,,,PESOS,1,82.73,#REF!,3.740648379,25.99283458,275.00,1.6,#REF!,"1,500.00",,,,,,,,
17097,IMPRESION KRAFT 200GR A4 (B/N) 🏁,909690,SERVICIOS,IMPRESION,,,PESOS,1,82.73,#REF!,3.740648379,25.99283458,27.16,1.6,#REF!,600.00,,,,,,,,
17111,IMPRESION KRAFT 200GR A4 (COLOR) 🏳️‍🌈,909704,SERVICIOS,IMPRESION,,,PESOS,1,82.73,#REF!,3.740648379,25.99283458,275.00,1.6,#REF!,800.00,,,,,,,,
17114,IMPRESION OBRA 120GR A3 (B/N) 🏁,909707,SERVICIOS,IMPRESION,,,PESOS,1,82.73,#REF!,3.740648379,25.99283458,27.16,1.6,#REF!,500.00,,,,,,,,
17126,IMPRESION OBRA 120GR A3 (COLOR) 🏳️‍🌈,909719,SERVICIOS,IMPRESION,,,PESOS,1,82.73,#REF!,3.740648379,25.99283458,275.00,1.6,#REF!,"1,200.00",,,,,,,,
17086,IMPRESION OBRA 120GR A4 (B/N) 🏁,909679,SERVICIOS,IMPRESION,,,PESOS,1,82.73,#REF!,3.740648379,25.99283458,27.16,1.6,#REF!,500.00,,,,,,,,
17100,IMPRESION OBRA 120GR A4 (COLOR) 🏳️‍🌈,909693,SERVICIOS,IMPRESION,,,PESOS,1,82.73,#REF!,3.740648379,25.99283458,275.00,1.6,#REF!,700.00,,,,,,,,
17115,IMPRESION OBRA 150GR A3 (B/N) 🏁,909708,SERVICIOS,IMPRESION,,,PESOS,1,82.73,#REF!,3.740648379,25.99283458,27.16,1.6,#REF!,700.00,,,,,,,,
17127,IMPRESION OBRA 150GR A3 (COLOR) 🏳️‍🌈,909720,SERVICIOS,IMPRESION,,,PESOS,1,82.73,#REF!,3.740648379,25.99283458,275.00,1.6,#REF!,"1,300.00",,,,,,,,
17087,IMPRESION OBRA 150GR A4 (B/N) 🏁,909680,SERVICIOS,IMPRESION,,,PESOS,1,82.73,#REF!,3.740648379,25.99283458,27.16,1.6,#REF!,500.00,,,,,,,,
17101,IMPRESION OBRA 150GR A4 (COLOR) 🏳️‍🌈,909694,SERVICIOS,IMPRESION,,,PESOS,1,82.73,#REF!,3.740648379,25.99283458,275.00,1.6,#REF!,700.00,,,,,,,,
17088,IMPRESION OBRA 180GR A4 (B/N) 🏁,909681,SERVICIOS,IMPRESION,,,PESOS,1,82.73,#REF!,3.740648379,25.99283458,27.16,1.6,#REF!,600.00,,,,,,,,
17102,IMPRESION OBRA 180GR A4 (COLOR) 🏳️‍🌈,909695,SERVICIOS,IMPRESION,,,PESOS,1,82.73,#REF!,3.740648379,25.99283458,275.00,1.6,#REF!,800.00,,,,,,,,
17116,IMPRESION OBRA 210GR / 200GR A3 (B/N) 🏁,909709,SERVICIOS,IMPRESION,,,PESOS,1,82.73,#REF!,3.740648379,25.99283458,27.16,1.6,#REF!,700.00,,,,,,,,
